Plant type,Grow Time Min,Grow Time Max
Asparagus,1095,
Avocado,1095,1825
"Beans, bush",60 days,75
"Beans, pole",65 days,75
Beets,40,70
Broccoli,123,154
Brussels Sprouts,90 days,
Cabbage,123,154
Carrots,90 days,
Cauliflower,123,154
Corn (sweet),62,93
,,
Cucumbers,62,93
Eggplant,123,154
Gourds,120,180
Horseradish,123,154
Kiwi,730,
Lettuce,70,90
Okra,50,75
Onions,50,60
Peanuts,154,215
Peas,60,
Peppers,123,154
Potatoes,90,150
Pumpkins,123,154
Radishes,21,70
Rhubarb,730,
Spinach,90 days,
Squash,40 days,100
Strawberries,203,
Tomatoes,123,154
Turnips,35,70
Watermelons,123,154
Muskmelon,123,154
Celery,105,130
Collard Greens,60,75
Cherry Tomatoes,62,
Cilantro,45,70
Dill,42,
Artichoke,150,180
Arugula,45,60
Capsicum,60,
Chard,60,
Chili pepper,60,190
Chives,32,
Garlic,242,
Leek,120,170
Sweet Potatoes,90,170
Mushrooms,365,
Parsnips,120,180
Rutabaga,93,123
